BADANIE;00:10:47;;
metoda:;branch and bound;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt,g/gr14.txt,g/gr15.txt,g/gr16.txt,g/gr17.txt,g/gr18.txt,g/gr19.txt,g/gr20.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
6;5;209;3 6 7 8 2 0 1 9 4 5 3
7;7;209;8 2 0 1 9 4 5 3 6 7 8
8;6;209;9 4 5 3 6 7 8 2 0 1 9
9;3;209;1 9 4 5 3 6 7 8 2 0 1
10;6;209;9 4 5 3 6 7 8 2 0 1 9
11;7;209;0 1 9 4 5 3 6 7 8 2 0
12;5;209;3 6 7 8 2 0 1 9 4 5 3
13;6;209;6 7 8 2 0 1 9 4 5 3 6
14;4;209;1 9 4 5 3 6 7 8 2 0 1
15;4;209;2 0 1 9 4 5 3 6 7 8 2
sredni czas [ms];;;
5;;;
;;;
;;;
plik:;g/gr11.txt;;
wynik optymalny:;115;;
liczba wierzcholkow:;11;;
iteracja;czas [ms];wynik;sciezka
1;9;115;1 8 5 10 2 6 9 4 3 0 7 1
2;9;115;10 2 6 9 4 3 0 7 1 8 5 10
3;6;115;2 6 9 4 3 0 7 1 8 5 10 2
4;6;115;6 9 4 3 0 7 1 8 5 10 2 6
5;9;115;4 3 0 7 1 8 5 10 2 6 9 4
6;9;115;4 3 0 7 1 8 5 10 2 6 9 4
7;8;115;8 5 10 2 6 9 4 3 0 7 1 8
8;6;115;2 6 9 4 3 0 7 1 8 5 10 2
9;8;115;8 5 10 2 6 9 4 3 0 7 1 8
10;9;115;4 3 0 7 1 8 5 10 2 6 9 4
11;6;115;2 6 9 4 3 0 7 1 8 5 10 2
12;11;115;9 4 3 0 7 1 8 5 10 2 6 9
13;10;115;9 4 3 0 7 1 8 5 10 2 6 9
14;13;115;3 0 7 1 8 5 10 2 6 9 4 3
15;14;115;7 1 8 5 10 2 6 9 4 3 0 7
sredni czas [ms];;;
8;;;
;;;
;;;
plik:;g/gr12.txt;;
wynik optymalny:;244;;
liczba wierzcholkow:;12;;
iteracja;czas [ms];wynik;sciezka
1;22;244;2 9 4 3 6 7 11 8 5 10 0 1 2
2;22;244;2 9 4 3 6 7 11 8 5 10 0 1 2
3;22;244;3 6 7 11 8 5 10 0 1 2 9 4 3
4;14;244;8 5 10 0 1 2 9 4 3 6 7 11 8
5;11;244;7 11 8 5 10 0 1 2 9 4 3 6 7
6;21;244;11 8 5 10 0 1 2 9 4 3 6 7 11
7;21;244;10 0 1 2 9 4 3 6 7 11 8 5 10
8;25;244;2 9 4 3 6 7 11 8 5 10 0 1 2
9;22;244;0 1 2 9 4 3 6 7 11 8 5 10 0
10;15;244;6 7 11 8 5 10 0 1 2 9 4 3 6
11;13;244;8 5 10 0 1 2 9 4 3 6 7 11 8
12;11;244;9 4 3 6 7 11 8 5 10 0 1 2 9
13;21;244;11 8 5 10 0 1 2 9 4 3 6 7 11
14;22;244;0 1 2 9 4 3 6 7 11 8 5 10 0
